CN,PLT_CN,INVYR,STATECD,COUNTYCD,PLOT,SUBP,TRANSECT,CWDID,MEASYEAR,CONDID,SLOPDIST,HORIZ_DIST,SPCD,DECAYCD,TRANSDIA,SMALLDIA,LARGEDIA,LENGTH,HOLLOWCD,CWDHSTCD,VOLCF,DRYBIO,CARBON,COVER_PCT,LPA_UNADJ,LPA_PLOT,LPA_COND,LPA_UNADJ_RGN,LPA_PLOT_RGN,LPA_COND_RGN,COVER_PCT_RGN,CHARRED_CD,ORNTCD_PNWRS,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_DATE,MODIFIED_IN_INSTANCE,CWD_SAMPLE_METHOD,HOLLOW_DIA,HORIZ_DIST_CD,INCLINATION,LARGE_END_DIA_CLASS,LENGTH_CD,VOLCF_AC_UNADJ,VOLCF_AC_PLOT,VOLCF_AC_COND,DRYBIO_AC_UNADJ,DRYBIO_AC_PLOT,DRYBIO_AC_COND,CARBON_AC_UNADJ,CARBON_AC_PLOT,CARBON_AC_COND
76458607010538,52863327010538,2001,23,3,647,2,150,1.0,2001,1,4.7,4.7,,5,9,,,10,,,4.417875,60.20750736,30.46499872416,0.61359375,35.637525,35.637525,35.637525,,,,,,,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,2022-04-18 09:41:25,290487,9,,,,,,157.442130759375,157.442130759375,157.442130759375,2145.646548729684,2145.646548729684,2145.646548729684,1085.69715365722,1085.69715365722,1085.69715365722
76458609010538,52863327010538,2001,23,3,647,4,150,1.0,2001,1,24.0,24.0,12.0,4,6,5,7,22,N,1,4.439691666666667,45.7110654,23.8154650734,0.4090625,16.198875,16.198875,16.198875,,,,,,,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,2022-04-18 09:41:25,290487,9,,,,,,71.918010346875,71.918010346875,71.918010346875,740.467834531425,740.467834531425,740.467834531425,385.7837417908724,385.7837417908724,385.7837417908724
76458603010538,52863327010538,2001,23,3,647,1,270,2.0,2001,1,20.3,20.3,316.0,3,15,15,16,21,N,1,27.54626875,491.0344978539,241.0979384462649,1.0567447916666666,16.97025,16.97025,16.97025,,,,,,,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,2022-04-18 09:41:25,290487,9,,,,,,467.4670672546875,467.4670672546875,467.4670672546875,8332.978187205146,8332.978187205146,8332.978187205146,4091.492289917727,4091.492289917727,4091.492289917727
76458604010538,52863327010538,2001,23,3,647,1,270,3.0,2001,1,22.4,22.4,316.0,3,7,3,7,13,N,1,2.056220833333333,36.6537977806,17.9970147102746,0.34088541666666666,27.41348076923077,27.41348076923077,27.41348076923077,,,,,,,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,2022-04-18 09:41:25,290487,9,,,,,,56.368170271875,56.368170271875,56.368170271875,1004.8081805777515,1004.8081805777515,1004.8081805777515,493.360816663676,493.360816663676,493.360816663676
76458610010538,52863327010538,2001,23,3,647,4,270,1.0,2001,1,14.0,14.0,316.0,3,13,11,11,18,N,1,11.879175,211.7558927484,103.9721433394644,0.7499479166666667,19.798625,19.798625,19.798625,,,,,,,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,2022-04-18 09:41:25,290487,9,,,,,,235.191331134375,235.191331134375,235.191331134375,4192.475512065791,4192.475512065791,4192.475512065791,2058.505476424303,2058.505476424303,2058.505476424303
76458430010538,52866435010538,2001,23,3,941,3,30,1.0,2001,1,2.3,2.3,94.0,2,4,3,5,27,N,1,2.5034625,49.5923504076,25.8376145623596,0.27270833333333333,13.199083333333334,13.199083333333334,13.199083333333334,,,,,,,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,2022-04-18 09:41:26,290487,9,,,,,,33.043410159375,33.043410159375,33.043410159375,654.5735657257796,654.5735657257796,654.5735657257796,341.03282774313124,341.03282774313124,341.03282774313124
76458599010538,52863327010538,2001,23,3,647,1,150,1.0,2001,1,2.9,2.9,12.0,4,6,5,8,24,N,1,5.82505,59.9747148,31.2468264108,0.4431510416666667,14.84896875,14.84896875,14.84896875,,,,,,,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,2022-04-18 09:41:25,290487,9,,,,,,86.4959854171875,86.4959854171875,86.4959854171875,890.5626658553625,890.5626658553625,890.5626658553625,463.9831489106439,463.9831489106439,463.9831489106439
76458600010538,52863327010538,2001,23,3,647,1,150,2.0,2001,1,7.2,7.2,12.0,4,8,7,9,15,N,1,5.3178125,54.7521975,28.5258948975,0.5454166666666667,23.75835,23.75835,23.75835,,,,,,,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,2022-04-18 09:41:25,290487,9,,,,,,126.342450609375,126.342450609375,126.342450609375,1300.821871474125,1300.821871474125,1300.821871474125,677.7281950380192,677.7281950380192,677.7281950380192
76458602010538,52863327010538,2001,23,3,647,1,270,1.0,2001,1,9.0,9.0,12.0,3,8,4,8,25,N,1,5.454166666666667,92.9945016,48.4501353336,0.4090625,14.25501,14.25501,14.25501,,,,,,,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,2022-04-18 09:41:25,290487,9,,,,,,77.749200375,77.749200375,77.749200375,1325.637550253016,1325.637550253016,1325.637550253016,690.6571636818213,690.6571636818213,690.6571636818213
76458425010538,52866435010538,2001,23,3,941,2,30,1.0,2001,1,5.0,5.0,261.0,1,10,3,11,25,N,1,8.863020833333334,209.10915025,108.94586728025,0.47723958333333333,14.25501,14.25501,14.25501,,,,,,,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,2022-04-18 09:41:26,290487,9,,,,,,126.342450609375,126.342450609375,126.342450609375,2980.8530279052525,2980.8530279052525,2980.8530279052525,1553.0244275386365,1553.0244275386365,1553.0244275386365
76458426010538,52866435010538,2001,23,3,941,2,30,2.0,2001,1,11.2,11.2,,5,10,,,22,,,11.999166666666667,163.5265632,82.7444409792,0.6817708333333333,16.198875,16.198875,16.198875,,,,,,,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,2022-04-18 09:41:26,290487,9,,,,,,194.3730009375,194.3730009375,194.3730009375,2648.9463564564,2648.9463564564,2648.9463564564,1340.3668563669385,1340.3668563669385,1340.3668563669385
76458431010538,52866435010538,2001,23,3,941,3,30,2.0,2001,1,14.4,14.4,,5,5,,,12,,,1.63625,22.2990768,11.2833328608,0.34088541666666666,29.6979375,29.6979375,29.6979375,,,,,,,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,2022-04-18 09:41:26,290487,9,,,,,,48.593250234375,48.593250234375,48.593250234375,662.2365891141,662.2365891141,662.2365891141,335.0917140917346,335.0917140917346,335.0917140917346
76458419010538,52866435010538,2001,23,3,941,1,150,1.0,2001,1,10.4,10.4,12.0,3,3,3,3,8,N,1,0.3927,6.6956041152,3.4884097440192,0.20453125,44.54690625,44.54690625,44.54690625,,,,,,,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,2022-04-18 09:41:26,290487,9,,,,,,17.493570084375,17.493570084375,17.493570084375,298.2684488069286,298.2684488069286,298.2684488069286,155.3978618284098,155.3978618284098,155.3978618284098
76458422010538,52866435010538,2001,23,3,941,2,150,1.0,2001,1,2.1,2.1,241.0,1,8,3,12,38,N,1,15.8552625,286.9168302,149.4836685342,0.511328125,9.37829605263158,9.37829605263158,9.37829605263158,,,,,,,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,2022-04-18 09:41:26,290487,9,,,,,,148.6953457171875,148.6953457171875,148.6953457171875,2690.790976098225,2690.790976098225,2690.790976098225,1401.9020985471752,1401.9020985471752,1401.9020985471752
76458423010538,52866435010538,2001,23,3,941,2,150,2.0,2001,1,13.0,13.0,371.0,4,10,3,13,28,N,1,13.591783333333334,209.9115018,103.0665473838,0.5454166666666667,12.7276875,12.7276875,12.7276875,,,,,,,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,2022-04-18 09:41:26,290487,9,,,,,,172.991970834375,172.991970834375,172.991970834375,2671.6879975660877,2671.6879975660877,2671.6879975660877,1311.798806804949,1311.798806804949,1311.798806804949
76458428010538,52866435010538,2001,23,3,941,3,150,1.0,2001,1,10.5,10.5,97.0,2,4,3,5,23,N,1,2.1325791666666665,42.2453355324,22.0098198123804,0.27270833333333333,15.494576086956522,15.494576086956522,15.494576086956522,,,,,,,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,2022-04-18 09:41:26,290487,9,,,,,,33.043410159375,33.043410159375,33.043410159375,654.5735657257796,654.5735657257796,654.5735657257796,341.03282774313124,341.03282774313124,341.03282774313124
76458432010538,52866435010538,2001,23,3,941,4,150,1.0,2001,1,15.0,15.0,,5,9,,,16,,,7.0686,96.332011776,48.743997958656,0.61359375,22.273453125,22.273453125,22.273453125,,,,,,,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,2022-04-18 09:41:26,290487,9,,,,,,157.442130759375,157.442130759375,157.442130759375,2145.646548729684,2145.646548729684,2145.646548729684,1085.69715365722,1085.69715365722,1085.69715365722
76458433010538,52866435010538,2001,23,3,941,4,150,2.0,2001,1,22.9,22.9,,5,8,,,14,,,4.886933333333333,66.599909376,33.699554144256,0.5454166666666667,25.455375,25.455375,25.455375,,,,,,,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,2022-04-18 09:41:26,290487,9,,,,,,124.3987206,124.3987206,124.3987206,1695.325668132096,1695.325668132096,1695.325668132096,857.8347880748406,857.8347880748406,857.8347880748406
76458437010538,52866435010538,2001,23,3,941,4,270,1.0,2001,1,8.5,8.5,94.0,4,4,3,5,17,N,1,1.5762541666666667,15.5032289412,8.0771822783652,0.27270833333333333,20.96325,20.96325,20.96325,,,,,,,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,2022-04-18 09:41:26,290487,9,,,,,,33.043410159375,33.043410159375,33.043410159375,324.9980641016109,324.9980641016109,324.9980641016109,169.32399139693928,169.32399139693928,169.32399139693928
76458416010538,52898510010538,2001,23,3,1392,4,270,1.0,2001,1,3.2,3.2,241.0,2,10,5,13,15,N,1,7.9358125,120.62942892,62.84793246732,0.61359375,23.75835,23.75835,23.75835,,,,,,,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,2022-04-18 09:41:26,290487,9,,,,,,188.541810909375,188.541810909375,188.541810909375,2865.956192581482,2865.956192581482,2865.956192581482,1493.1631763349521,1493.1631763349521,1493.1631763349521
76458399010538,52898510010538,2001,23,3,1392,2,30,1.0,2001,1,20.3,20.3,12.0,4,3,3,3,4,N,1,0.19635,2.0216196,1.0532638116,0.20453125,89.0938125,89.0938125,89.0938125,,,,,,,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,2022-04-18 09:41:26,290487,9,,,,,,17.493570084375,17.493570084375,17.493570084375,180.113797588725,180.113797588725,180.113797588725,93.83928854372573,93.83928854372573,93.83928854372573
76458400010538,52898510010538,2001,23,3,1392,2,30,2.0,2001,1,23.4,23.4,97.0,4,7,6,8,25,N,1,6.817708333333333,67.0554885,34.9359095085,0.47723958333333333,14.25501,14.25501,14.25501,,,,,,,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,2022-04-18 09:41:26,290487,9,,,,,,97.18650046875,97.18650046875,97.18650046875,955.876659122385,955.876659122385,955.876659122385,498.0117394027626,498.0117394027626,498.0117394027626
76458393010538,52898510010538,2001,23,3,1392,2,150,1.0,2001,1,4.1,4.1,12.0,2,5,5,5,16,N,1,2.1816666666666666,44.92488,23.40586248,0.34088541666666666,22.273453125,22.273453125,22.273453125,,,,,,,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,2022-04-18 09:41:26,290487,9,,,,,,48.593250234375,48.593250234375,48.593250234375,1000.63220882625,1000.63220882625,1000.63220882625,521.3293807984762,521.3293807984762,521.3293807984762
76458405010538,52898510010538,2001,23,3,1392,4,150,1.0,2001,1,22.5,22.5,12.0,2,7,4,8,40,N,1,8.726666666666667,179.69952,93.62344992,0.4090625,8.90938125,8.90938125,8.90938125,,,,,,,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,2022-04-18 09:41:26,290487,9,,,,,,77.749200375,77.749200375,77.749200375,1601.011534122,1601.011534122,1601.011534122,834.127009277562,834.127009277562,834.127009277562
76458406010538,52898510010538,2001,23,3,1392,4,150,2.0,2001,1,23.5,23.5,12.0,2,7,3,8,41,N,1,8.162160416666667,168.0752073,87.5671830033,0.37497395833333336,8.692079268292684,8.692079268292684,8.692079268292684,,,,,,,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,2022-04-18 09:41:26,290487,9,,,,,,70.9461453421875,70.9461453421875,70.9461453421875,1460.923024886325,1460.923024886325,1460.923024886325,761.1408959657754,761.1408959657754,761.1408959657754
76458649010538,52897435010538,2001,23,3,1418,2,30,1.0,2001,1,14.6,14.6,97.0,3,7,4,7,24,N,1,4.25425,81.720807168,42.576540534528,0.37497395833333336,14.84896875,14.84896875,14.84896875,,,,,,,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,2022-04-18 09:41:26,290487,9,,,,,,63.1712253046875,63.1712253046875,63.1712253046875,1213.469711862408,1213.469711862408,1213.469711862408,632.2177198803146,632.2177198803146,632.2177198803146
76458650010538,52897435010538,2001,23,3,1418,2,30,2.0,2001,1,19.0,19.0,12.0,3,4,4,5,7,N,1,0.7826729166666667,13.3447109796,6.9525944203716,0.306796875,50.91075,50.91075,50.91075,,,,,,,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,2022-04-18 09:41:26,290487,9,,,,,,39.8464651921875,39.8464651921875,39.8464651921875,679.3892445046707,679.3892445046707,679.3892445046707,353.96179638693343,353.96179638693343,353.96179638693343
