CN,PLT_CN,INVYR,STATECD,COUNTYCD,PLOT,SUBP,MEASYEAR,LVSHRBCD,DSHRBCD,LVHRBCD,DHRBCD,LITTERCD,LVSHRBHT,DSHRBHT,LVHRBHT,DHRBHT,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_DATE,MODIFIED_IN_INSTANCE,MICR_SAMPLE_METHOD
76441251010538,52863327010538,2001,23,3,647,2,2001,0,0,0,0,99.0,0.0,0.0,0.0,0.0,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-08-04 12:01:05,489998,1
76441250010538,52863327010538,2001,23,3,647,3,2001,1,0,20,0,99.0,0.1,0.0,1.0,0.0,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-08-04 12:01:05,489998,1
76441249010538,52863327010538,2001,23,3,647,4,2001,0,0,1,0,99.0,0.0,0.0,0.5,0.0,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-08-04 12:01:05,489998,1
76441229010538,52866435010538,2001,23,3,941,1,2001,1,0,60,0,70.0,5.0,0.0,0.5,0.0,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-08-04 12:01:04,489998,1
76441228010538,52866435010538,2001,23,3,941,2,2001,10,0,60,0,60.0,3.0,0.0,1.0,0.0,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-08-04 12:01:04,489998,1
76441227010538,52866435010538,2001,23,3,941,3,2001,0,0,1,0,99.0,0.0,0.0,0.8,0.0,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-08-04 12:01:04,489998,1
76441226010538,52866435010538,2001,23,3,941,4,2001,1,0,10,0,99.0,0.0,0.0,0.5,0.0,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-08-04 12:01:04,489998,1
76441237010538,52865805010538,2001,23,3,958,1,2001,1,0,50,0,90.0,1.0,0.0,1.2,0.0,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-08-04 12:01:04,489998,1
76441236010538,52865805010538,2001,23,3,958,2,2001,1,0,1,0,99.0,1.0,0.0,0.5,0.0,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-08-04 12:01:04,489998,1
76441235010538,52865805010538,2001,23,3,958,3,2001,0,0,10,0,99.0,0.0,0.0,1.3,0.0,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-08-04 12:01:18,489998,1
