CN,STATECD,COUNTYCD,PLOT,MEASYEAR,INVYR,CONDID,EVALID,PLT_CN,CND_CN,STRATUM_CN,PHASE,CONDPROP_CWD,CONDPROP_FWD_SM,CONDPROP_FWD_MD,CONDPROP_FWD_LG,CONDPROP_DUFF,CWD_TL_COND,CWD_TL_UNADJ,CWD_TL_ADJ,CWD_LPA_COND,CWD_LPA_UNADJ,CWD_LPA_ADJ,CWD_VOLCF_COND,CWD_VOLCF_UNADJ,CWD_VOLCF_ADJ,CWD_DRYBIO_COND,CWD_DRYBIO_UNADJ,CWD_DRYBIO_ADJ,CWD_CARBON_COND,CWD_CARBON_UNADJ,CWD_CARBON_ADJ,FWD_SM_TL_COND,FWD_SM_TL_UNADJ,FWD_SM_TL_ADJ,FWD_SM_CNT_COND,FWD_SM_VOLCF_COND,FWD_SM_VOLCF_UNADJ,FWD_SM_VOLCF_ADJ,FWD_SM_DRYBIO_COND,FWD_SM_DRYBIO_UNADJ,FWD_SM_DRYBIO_ADJ,FWD_SM_CARBON_COND,FWD_SM_CARBON_UNADJ,FWD_SM_CARBON_ADJ,FWD_MD_TL_COND,FWD_MD_TL_UNADJ,FWD_MD_TL_ADJ,FWD_MD_CNT_COND,FWD_MD_VOLCF_COND,FWD_MD_VOLCF_UNADJ,FWD_MD_VOLCF_ADJ,FWD_MD_DRYBIO_COND,FWD_MD_DRYBIO_UNADJ,FWD_MD_DRYBIO_ADJ,FWD_MD_CARBON_COND,FWD_MD_CARBON_UNADJ,FWD_MD_CARBON_ADJ,FWD_LG_TL_COND,FWD_LG_TL_UNADJ,FWD_LG_TL_ADJ,FWD_LG_CNT_COND,FWD_LG_VOLCF_COND,FWD_LG_VOLCF_UNADJ,FWD_LG_VOLCF_ADJ,FWD_LG_DRYBIO_COND,FWD_LG_DRYBIO_UNADJ,FWD_LG_DRYBIO_ADJ,FWD_LG_CARBON_COND,FWD_LG_CARBON_UNADJ,FWD_LG_CARBON_ADJ,PILE_SAMPLE_AREA_COND,PILE_SAMPLE_AREA_UNADJ,PILE_SAMPLE_AREA_ADJ,PILE_VOLCF_COND,PILE_VOLCF_UNADJ,PILE_VOLCF_ADJ,PILE_DRYBIO_COND,PILE_DRYBIO_UNADJ,PILE_DRYBIO_ADJ,PILE_CARBON_COND,PILE_CARBON_UNADJ,PILE_CARBON_ADJ,FUEL_DEPTH,FUEL_BIOMASS,FUEL_CARBON,DUFF_DEPTH,DUFF_BIOMASS,DUFF_CARBON,LITTER_DEPTH,LITTER_BIOMASS,LITTER_CARBON,DUFF_TC_COND,DUFF_TC_UNADJ,DUFF_TC_ADJ,AVG_WOOD_DENSITY,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_DATE,MODIFIED_IN_INSTANCE,CYCLE,SUBCYCLE,UNITCD,RSCD,PILE_TL_COND,PILE_TL_UNADJ,PILE_TL_ADJ,CONDPROP_PILE
1209852029290487,23,1,1732.0,2006,2006,1,231007,75850270010538,75898844010538,30457741020004,,0.527430555556,0.5,0.5,0.5,0.583333333333,151.9,288.0,287.1676300578,18.7689400921659,9.8993125,9.92800615942029,55.27922080645161,29.155950140625,29.24046014103261,1138.3097148464517,600.37932529575,602.1195552241435,593.0593614350013,312.79762847908574,313.70428827177875,12.0,24.0,23.9304423293,30.0,7.061771344329,3.5308856721645,3.541148757957659,152.45833263519947,76.22916631759973,76.45073862168935,76.22916631759973,38.11458315879987,38.22536931084468,12.0,24.0,23.9304423293,8.0,58.2820208054656,29.1410104027328,29.225713425608998,1258.2649991559003,629.1324995779502,630.9611741423336,629.1324995779502,314.5662497889751,315.4805870711668,20.0,40.0,39.8840705489,5.0,260.20047697449,130.100238487245,130.4783957070698,5617.532618394871,2808.7663091974355,2816.9304391865426,2808.7663091974355,1404.3831545987177,1408.4652195932713,0.082441547265,0.1661669,0.165686648844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7571428571428571,,,3.6714285714285713,149798.69142857142,74899.34571428571,1.5571428571428572,24701.112857142856,12350.556428571428,7.0,12.0,11.965317919075,25.3991152547,FSTROFFE,2022-04-18 09:44:07,290487,FSTROFFE,2022-04-18 09:44:08,290487,6,3,8,24,0.0,0.0,0.0,0.496136999998
1209852030290487,23,1,1732.0,2006,2006,2,231007,75850270010538,75898846010538,30457741020004,,0.472569444444,0.5,0.5,0.5,0.416666666667,136.1,288.0,287.1676300578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,24.0,23.9304423293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,24.0,23.9304423293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,40.0,39.8840705489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083725352735,0.1661669,0.165686648844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,11.965317919075,28.08,FSTROFFE,2022-04-18 09:44:07,290487,FSTROFFE,2022-04-18 09:44:08,290487,6,3,8,24,0.0,0.0,0.0,0.503863000002
1209852087290487,23,3,60.0,2006,2006,1,231007,75851142010538,75919340010538,30457741020004,,0.5,0.499534593482,0.499534593482,0.499534593484,0.5,144.0,288.0,287.1676300578,507.1276375,253.56381875,254.2987863405797,1298.4116462625,649.20582313125,651.087579140326,24387.519779165745,12193.759889582872,12229.10412114688,12508.866652146071,6254.4333260730355,6272.562118322523,11.9627371745,23.9477652411,23.8783589591,69.0,16.29266665817447,8.138750615831745,8.162407200489215,355.17622194539894,177.4228096440291,177.93851751058364,177.58811097269947,88.71140482201454,88.96925875529182,11.9627371745,23.9477652411,23.8783589591,30.0,219.23836476459002,109.51714741837594,109.83547658112332,4779.343721704744,2387.447523133357,2394.3870224634397,2389.671860852372,1193.7237615666786,1197.1935112317199,19.9378952909,39.9129420684,39.7972649318,8.0,417.61756402562713,208.61442007725475,209.2207913647256,9103.962642864417,4547.744277895376,4560.9630263972995,4551.9813214322085,2273.872138947688,2280.4815131986497,0.08308345,0.1661669,0.165686648844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6166666666666667,,,1.3333333333333333,23038.4,11519.2,1.3,8730.15,4365.075,6.0,12.0,11.965317919075,25.6467764011,FSTROFFE,2022-04-18 09:44:07,290487,FSTROFFE,2022-04-18 09:44:08,290487,6,3,2,24,0.0,0.0,0.0,0.5
1209852088290487,23,3,60.0,2006,2006,2,231007,75851142010538,75919342010538,30457741020004,,0.5,0.500465406515,0.500465406515,0.500465406518,0.5,144.0,288.0,287.1676300578,221.7446,110.8723,111.19366898550724,114.03216055,57.016080275,57.1813442757971,2166.556729675338,1083.278364837669,1086.4183021270535,1093.6061991512838,546.8030995756419,548.388036096151,11.9850280665,23.9477652411,23.8783589591,11.0,2.5925507844156037,1.2974819822340462,1.3012533218171212,54.05678463477015,27.053550697148836,27.132186183424494,27.028392317385077,13.526775348574418,13.566093091712247,11.9850280665,23.9477652411,23.8783589591,2.0,14.588706963909287,7.301143161225062,7.322365105408221,304.1863616282376,152.2347511286779,152.67724586133124,152.0931808141188,76.11737556433896,76.33862293066562,19.9750467776,39.9129420684,39.7972649318,2.0,104.21020981689158,52.15360501931369,52.3051978411814,2172.8673176543903,1087.4449254391004,1090.6057586127995,1086.4336588271951,543.7224627195502,545.3028793063997,0.08308345,0.1661669,0.165686648844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,0.8666666666666667,14974.96,7487.48,0.4666666666666667,3133.9,1566.95,6.0,12.0,11.965317919075,24.5303650751,FSTROFFE,2022-04-18 09:44:07,290487,FSTROFFE,2022-04-18 09:44:08,290487,6,3,2,24,0.0,0.0,0.0,0.5
1209852118290487,23,3,67.0,2006,2006,1,231007,75809665010538,75919719010538,30457741020004,,1.0,1.0,1.0,1.0,1.0,288.0,288.0,287.1676300578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,23.9304423293,211.0,24.83389589422365,24.83389589422365,24.906079597635536,475.07545673310506,475.07545673310506,476.4563397815463,237.53772836655253,237.53772836655253,238.22816989077316,24.0,24.0,23.9304423293,16.0,58.2820208054656,58.2820208054656,58.451426851217995,1114.942164991728,1114.942164991728,1118.1829233045582,557.471082495864,557.471082495864,559.0914616522791,40.0,40.0,39.8840705489,1.0,26.020047697449,26.020047697449,26.09567914141396,497.7666853696538,497.7666853696538,499.2135241152973,248.8833426848269,248.8833426848269,249.60676205764864,0.1661669,0.1661669,0.165686648844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25833333333333336,,,0.0,0.0,0.0,0.375,4546.575,2273.2875,12.0,12.0,11.965317919075,22.5060258132,FSTROFFE,2022-04-18 09:44:07,290487,FSTROFFE,2022-04-18 09:44:08,290487,6,3,2,24,0.0,0.0,0.0,1.0
1209852067290487,23,3,647.0,2006,2006,1,231007,75806229010538,75916307010538,30457741020004,,1.0,0.999999999998,0.999999999998,0.999999999999,1.0,288.0,288.0,287.1676300578,174.73621634615384,174.73621634615384,175.24269813266443,632.36016305,632.36016305,634.1930910588405,10653.751746461023,10653.751746461023,10684.632186305838,5264.296058352162,5264.296058352162,5279.554887506806,23.9186461837,23.9186461837,23.8493242957,94.0,11.101071545082592,11.101071545062208,11.133338590852203,248.6516059909003,248.6516059904437,249.37435178337736,124.32580299545015,124.32580299522185,124.68717589168868,23.9186461837,23.9186461837,23.8493242957,37.0,135.2355869082457,135.23558690799737,135.6286708420558,3029.1261285269993,3029.126128521437,3037.9307696856627,1514.5630642634997,1514.5630642607184,1518.9653848428313,39.8644103062,39.8644103062,39.7488738261,4.0,104.43419580558421,104.43419580547976,104.73775055372346,2339.209363886093,2339.209363883753,2346.008651263393,1169.6046819430464,1169.6046819418766,1173.0043256316965,0.1661669,0.1661669,0.165686648844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,,,0.825,33660.99,16830.495,0.85,13483.635,6741.8175,12.0,12.0,11.965317919075,26.3516274062,FSTROFFE,2022-04-18 09:44:07,290487,FSTROFFE,2022-04-18 09:44:08,290487,6,3,2,24,0.0,0.0,0.0,1.0
1209852132290487,23,3,941.0,2006,2006,1,231007,75809765010538,75919818010538,30457741020004,,1.0,1.0,1.0,1.0,1.0,288.0,288.0,287.1676300578,413.7823637734456,413.7823637734456,414.9817329438034,1107.278195340625,1107.278195340625,1110.4876973561052,16923.64767103991,16923.64767103991,16972.701722260314,8817.220436611793,8817.220436611793,8842.777597297625,24.0,24.0,23.9304423293,132.0,15.5358969575238,15.5358969575238,15.581054535013699,276.6496769747035,276.6496769747035,277.45380365369067,138.32483848735174,138.32483848735174,138.72690182684534,24.0,24.0,23.9304423293,16.0,58.2820208054656,58.2820208054656,58.451426851217995,1037.8352967548835,1037.8352967548835,1040.8519315821545,518.9176483774418,518.9176483774418,520.4259657910773,40.0,40.0,39.8840705489,18.0,468.360858554082,468.360858554082,469.7222245454513,8340.160891954929,8340.160891954929,8364.402907899446,4170.0804459774645,4170.0804459774645,4182.201453949723,0.1661669,0.1661669,0.165686648844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,,,0.8833333333333333,15262.94,7631.47,0.2,1343.1,671.55,12.0,12.0,11.965317919075,20.9495601764,FSTROFFE,2022-04-18 09:44:07,290487,FSTROFFE,2022-04-18 09:44:08,290487,6,3,2,24,0.0,0.0,0.0,1.0
1209852076290487,23,3,958.0,2006,2006,1,231007,75808997010538,75919057010538,30457741020004,,1.0,1.000000000002,1.000000000002,1.0,1.0,288.0,288.0,287.1676300578,190.3496375,190.3496375,190.90137557971013,80.988750390625,80.988750390625,81.22350039175724,1302.31776608934,1302.31776608934,1306.0926001939467,655.7091033711479,655.7091033711479,657.6097094678757,23.6210221111,23.6210221111,23.5525628079,59.0,7.055486546784463,7.055486546797438,7.075994450611234,191.97276423281477,191.9727642331678,192.53076387750832,95.98638211640738,95.9863821165839,96.26538193875416,23.6210221111,23.6210221111,23.5525628079,10.0,37.010689375341016,37.01068937540908,37.11826688303507,1007.0240086822085,1007.0240086840604,1009.9510855583903,503.5120043411043,503.5120043420302,504.97554277919517,39.3683701851,39.3683701851,39.2542713465,3.0,79.31254733211274,79.31254733212428,79.54308197791035,2158.0154463806352,2158.0154463809495,2164.2880645639084,1079.0077231903176,1079.0077231904747,1082.1440322819542,0.1661669,0.1661669,0.165686648844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.325,,,1.55,63241.86,31620.93,1.1,17449.41,8724.705,12.0,12.0,11.965317919075,32.0105933679,FSTROFFE,2022-04-18 09:44:07,290487,FSTROFFE,2022-04-18 09:44:08,290487,6,3,2,24,0.0,0.0,0.0,1.0
1209852034290487,23,3,1392.0,2006,2006,1,231007,75789821010538,75900140010538,30457741020004,,1.0,1.0,1.0,0.999999999999,1.0,288.0,288.0,287.1676300578,154.39156333333332,154.39156333333332,154.8390751111111,636.24762306875,636.24762306875,638.0918190776449,8262.57956728184,8262.57956728184,8286.529073273961,4199.011441123106,4199.011441123106,4211.182488778536,23.7835921754,23.7835921754,23.7146617058,256.0,30.404380479044598,30.404380479045884,30.492755689776796,574.4406445101109,574.4406445101351,576.1103484215821,287.22032225505546,287.2203222550676,288.05517421079105,23.7835921754,23.7835921754,23.7146617058,23.0,84.54272605079035,84.54272605079393,84.78846305029154,1597.295431647743,1597.2954316478106,1601.9382271314641,798.6477158238715,798.6477158239053,800.9691135657321,39.6393202923,39.6393202923,39.5244361763,5.0,131.28402558660136,131.2840255864965,131.66562367348286,2480.3952287015636,2480.3952286995827,2487.604895450837,1240.1976143507818,1240.1976143497914,1243.8024477254185,0.1661669,0.1661669,0.165686648844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,,,0.5166666666666667,8927.38,4463.69,1.4916666666666667,10017.2875,5008.64375,12.0,12.0,11.965317919075,22.2274722361,FSTROFFE,2022-04-18 09:44:07,290487,FSTROFFE,2022-04-18 09:44:08,290487,6,3,2,24,0.0,0.0,0.0,1.0
1209852032290487,23,3,1418.0,2006,2006,1,231007,75850333010538,75898906010538,30457741020004,,1.0,1.0,1.0,1.0,1.0,288.0,288.0,287.1676300578,389.08317374325236,389.08317374325236,390.2109510584502,428.91642206875,428.91642206875,430.1596580747464,7431.9828692961855,7431.9828692961855,7453.524848627479,3823.84118968157,3823.84118968157,3834.9247873328213,24.0,24.0,23.9304423293,107.0,12.59349223072005,12.59349223072005,12.63009723671565,227.59435849553893,227.59435849553893,228.2558980196569,113.79717924776946,113.79717924776946,114.12794900982846,24.0,24.0,23.9304423293,33.0,120.2066679112728,120.2066679112728,120.55606788063712,2172.4204032472862,2172.4204032472862,2178.734891748883,1086.2102016236431,1086.2102016236431,1089.3674458744415,40.0,40.0,39.8840705489,9.0,234.180429277041,234.180429277041,234.86111227272565,4232.1973601178515,4232.1973601178515,4244.49892086871,2116.0986800589258,2116.0986800589258,2122.249460434355,0.1661669,0.1661669,0.165686648844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,,,3.6166666666666667,62491.66,31245.83,0.7083333333333334,4756.8125,2378.40625,12.0,12.0,11.965317919075,21.2616217895,FSTROFFE,2022-04-18 09:44:07,290487,FSTROFFE,2022-04-18 09:44:08,290487,6,3,2,24,0.0,0.0,0.0,1.0
