CN,PLT_CN,INVYR,STATECD,COUNTYCD,PLOT,SUBP,TRANSECT,SEGMNT,MEASYEAR,CONDID,SLOPE_BEGNDIST,SLOPE_ENDDIST,SLOPE,HORIZ_LENGTH,HORIZ_BEGNDIST,HORIZ_ENDDIST,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_IN_INSTANCE,MODIFIED_DATE,SEGMNT_STATUS_CD,SEGMNT_NONSAMPLE_REASN_CD,TRANSECT_LENGTH
76461171010538,52866061010538,2001,23,3,60,2,30,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,290487,2022-04-18 09:41:22,,,
76461170010538,52866061010538,2001,23,3,60,2,150,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,290487,2022-04-18 09:41:22,,,
76461173010538,52866061010538,2001,23,3,60,3,30,1,2001,2,0.0,24.0,0,24.0,0.0,24.0,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,290487,2022-04-18 09:41:22,,,
76461172010538,52866061010538,2001,23,3,60,3,150,1,2001,2,0.0,24.0,0,24.0,0.0,24.0,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,290487,2022-04-18 09:41:22,,,
76461174010538,52866061010538,2001,23,3,60,4,150,1,2001,2,0.0,24.0,0,24.0,0.0,24.0,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,290487,2022-04-18 09:41:22,,,
76461175010538,52866061010538,2001,23,3,60,4,270,1,2001,2,0.0,24.0,0,24.0,0.0,24.0,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,290487,2022-04-18 09:41:22,,,
76461088010538,52866384010538,2001,23,3,67,1,150,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,290487,2022-04-18 09:41:22,,,
76461089010538,52866384010538,2001,23,3,67,1,270,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,290487,2022-04-18 09:41:22,,,
76461091010538,52866384010538,2001,23,3,67,2,30,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,290487,2022-04-18 09:41:22,,,
76461090010538,52866384010538,2001,23,3,67,2,150,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,290487,2022-04-18 09:41:22,,,
