CN,PLT_CN,INVYR,STATECD,COUNTYCD,PLOT,TRANSECT,SUBP,CONDID,MEASYEAR,SMALLCT,MEDIUMCT,LARGECT,RSNCTCD,PILESCD,SMALL_TL_COND,SMALL_TL_PLOT,SMALL_TL_UNADJ,MEDIUM_TL_COND,MEDIUM_TL_PLOT,MEDIUM_TL_UNADJ,LARGE_TL_COND,LARGE_TL_PLOT,LARGE_TL_UNADJ,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_DATE,MODIFIED_IN_INSTANCE,FWD_STATUS_CD,FWD_NONSAMPLE_REASN_CD,FWD_SAMPLE_METHOD,SLOPE
76439005010538,52866238010538,2001,23,3,1943,150,2,1,2001,23,2,2,0,0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,2022-04-18 09:41:30,290487,,,1,
76439004010538,52866238010538,2001,23,3,1943,150,3,1,2001,11,1,4,0,0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,2022-04-18 09:41:30,290487,,,1,
76439003010538,52866238010538,2001,23,3,1943,150,4,1,2001,3,0,9,0,0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,2022-04-18 09:41:30,290487,,,1,
76439025010538,52872968010538,2001,23,7,1008,150,1,1,2001,5,0,0,0,0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,NIMS,2007-11-19 11:54:39,10661,FSTROFFE,2022-04-18 09:41:29,290487,,,1,
76439024010538,52872968010538,2001,23,7,1008,150,2,1,2001,23,3,4,0,0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,NIMS,2007-11-19 11:54:39,10661,FSTROFFE,2022-04-18 09:41:29,290487,,,1,
76439023010538,52872968010538,2001,23,7,1008,150,3,1,2001,13,1,2,0,0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,NIMS,2007-11-19 11:54:39,10661,FSTROFFE,2022-04-18 09:41:29,290487,,,1,
76439022010538,52872968010538,2001,23,7,1008,150,4,1,2001,10,1,0,0,0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,NIMS,2007-11-19 11:54:39,10661,FSTROFFE,2022-04-18 09:41:29,290487,,,1,
76438982010538,52872861010538,2001,23,7,1144,150,1,1,2001,20,1,0,0,0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,2022-04-18 09:41:30,290487,,,1,
76438981010538,52872861010538,2001,23,7,1144,150,2,1,2001,37,2,4,0,0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,2022-04-18 09:41:30,290487,,,1,
76438980010538,52872861010538,2001,23,7,1144,150,3,1,2001,5,1,1,0,0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,2022-04-18 09:41:30,290487,,,1,
76438979010538,52872861010538,2001,23,7,1144,150,4,1,2001,26,1,1,0,0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,2022-04-18 09:41:30,290487,,,1,
76438978010538,52869464010538,2001,23,7,1942,150,1,1,2001,18,4,2,0,0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,2022-04-18 09:41:27,290487,,,1,
76438977010538,52869464010538,2001,23,7,1942,150,2,1,2001,27,4,2,0,0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,2022-04-18 09:41:27,290487,,,1,
76438976010538,52869464010538,2001,23,7,1942,150,3,1,2001,23,3,2,0,0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,2022-04-18 09:41:27,290487,,,1,
76438975010538,52869464010538,2001,23,7,1942,150,4,1,2001,63,4,2,0,0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,2022-04-18 09:41:27,290487,,,1,
76438938010538,52877779010538,2001,23,9,1569,150,1,1,2001,45,12,2,0,0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,NIMS,2007-11-19 11:54:39,10661,FSTROFFE,2022-04-18 09:41:30,290487,,,1,
76438937010538,52877779010538,2001,23,9,1569,150,2,1,2001,19,1,0,0,0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,NIMS,2007-11-19 11:54:39,10661,FSTROFFE,2022-04-18 09:41:30,290487,,,1,
76438936010538,52877779010538,2001,23,9,1569,150,3,1,2001,17,2,0,0,0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,NIMS,2007-11-19 11:54:39,10661,FSTROFFE,2022-04-18 09:41:30,290487,,,1,
76438935010538,52877779010538,2001,23,9,1569,150,4,1,2001,15,4,3,0,0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,NIMS,2007-11-19 11:54:39,10661,FSTROFFE,2022-04-18 09:41:30,290487,,,1,
76438942010538,52875595010538,2001,23,9,1720,150,1,1,2001,26,6,2,0,0,39.95037190209989,39.95037190209989,39.95037190209989,39.95037190209989,39.95037190209989,39.95037190209989,40.06947933706002,40.06947933706002,40.06947933706002,NIMS,2007-11-19 11:54:39,10661,FSTROFFE,2022-04-18 09:41:30,290487,,,1,
