CN,PLT_CN,INVYR,STATECD,COUNTYCD,PLOT,TRANSECT,SUBP,SMPLOCCD,MEASYEAR,CONDID,DUFFDEP,LITTDEP,FUELDEP,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_DATE,MODIFIED_IN_INSTANCE,DLF_SAMPLE_METHOD,DUFF_METHOD,DUFF_NONSAMPLE_REASN_CD,LITTER_METHOD,LITTER_NONSAMPLE_REASN_CD,FUELBED_METHOD,FUELBED_NONSAMPLE_REASN_CD,DL_STATUS_CD
76432403010538,52866384010538,2001,23,3,67,30,2,2,2001,1,0.0,0.0,0.0,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:31,489998,1,1,,1,,1,,
76432407010538,52866384010538,2001,23,3,67,30,3,2,2001,1,0.0,0.0,0.0,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:31,489998,1,1,,1,,1,,
76432397010538,52866384010538,2001,23,3,67,150,1,2,2001,1,0.0,0.0,0.0,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:31,489998,1,1,,1,,1,,
76432401010538,52866384010538,2001,23,3,67,150,2,2,2001,1,0.0,0.0,0.0,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:31,489998,1,1,,1,,1,,
76432405010538,52866384010538,2001,23,3,67,150,3,2,2001,1,0.0,0.0,0.0,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:31,489998,1,1,,1,,1,,
76432409010538,52866384010538,2001,23,3,67,150,4,2,2001,1,0.0,0.0,0.0,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:31,489998,1,1,,1,,1,,
76432399010538,52866384010538,2001,23,3,67,270,1,2,2001,1,0.0,0.0,0.0,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:31,489998,1,1,,1,,1,,
76432411010538,52866384010538,2001,23,3,67,270,4,2,2001,1,0.0,0.0,0.0,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:31,489998,1,1,,1,,1,,
76432543010538,52863327010538,2001,23,3,647,30,2,2,2001,1,5.8,1.4,0.2,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:33,489998,1,1,,1,,1,,
76432547010538,52863327010538,2001,23,3,647,30,3,2,2001,1,0.6,0.6,0.1,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:33,489998,1,1,,1,,1,,
